,Unnamed: 0,Composition,Type,Experimental Structure,EP 1 element,EP 1 Ehull (eV/atom),EP 1 band gap (eV),EP 1 Entry id,EP 2 element,EP 2 Ehull (eV/atom),EP 2 band gap (eV),EP 2 Entry id,EP 3 element,EP 3 Ehull (eV/atom),EP 3 band gap (eV),EP 3 Entry id
336,0,DyRhSi,III_IV,MgSrSi (Pnma),Dy,1.193,,928192,Si,0.62,0,579149,Rh,0.436,0,885302
337,1,DyAsTe,III_IV,MgSrSi (Pnma),Dy,0.569,,927178,Te,0.861,0,845980,As,0.738,0,583504
338,2,CeIrGa,III_IV,MgSrSi (Pnma),Ce,1.008,0,921509,Ga,0.593,,951692,Ir,0.293,0,894159
339,3,YbPtAs,III_IV,OTHER,Yb,0.896,0,830217,As,0.382,0,583085,Pt,0.26,0,566125
340,4,LiRhIn,III_IV,AsHgK (P63/mmc),Li,0.38,0,881467,In,0.353,0,887731,Rh,0.253,0,886675
341,5,TmLiGe,III_IV,MoNiP (P-62m),Li,0.296,0,880428,Tm,0.636,0.617,870560,Ge,0.157,1.017,868484
342,6,MnRhP,III_IV,MoNiP (P-62m),Mn,0.487,0,1726895,P,0.149,0,1726618,Rh,0.329,0,1726341
343,7,VNiGe,III_IV,MgSrSi (Pnma),V,0.499,0,839247,Ni,0.128,0,959673,Ge,0.379,0,867746
344,8,ZrVCu,III_IV,OTHER,Zr,1.064,0,987755,V,0.917,0,840892,Cu,0.623,0,852923
345,9,LuNiIn,III_IV,MoNiP (P-62m),Lu,0.837,0,906464,In,0.702,0,888231,Ni,0.147,0,960101
346,10,NbCoSi,III_IV,MgSrSi (Pnma),Nb,0.979,0,919789,Co,0.109,0.962,860848,Si,0.768,0,580959
347,11,ErPtAs,III_IV,OTHER,Er,0.639,0,873672,As,0.302,0,583256,Pt,0.056,0,566324
348,12,ZrCrSi,III_IV,MgSrSi (Pnma),Zr,1.24,0,988177,Cr,0.831,0,836089,Si,0.636,0,580733
349,13,MnRuGa,I_II,Half Heusler (F-43m),Mn,0.373,0,903162,Ga,0.468,0,952520,Ru,0.473,0,933462
350,14,YbFeGa,III_IV,OTHER,Yb,1.154,0,829923,Ga,0.638,0,952214,Fe,0.571,0,956985
351,15,ZrMoSi,III_IV,MgSrSi (Pnma),Zr,1.581,0,988532,Si,0.629,0,580033,Mo,1.091,0,884651
352,16,HoPtAs,III_IV,OTHER,Ho,0.662,0,891571,As,0.311,0,582030,Pt,0.07,0,566589
353,17,HfNiP,III_IV,MgSrSi (Pnma),Hf,0.78,0,1726871,Ni,0.389,0,1726317,P,0.512,0,1726594
